dealerId,capdb,domain,homepage,c
11461,LEA13947,fairwayfordburgaw.net,http://www.fairwayfordburgaw.net/,2
3150,LEA14848,faulknerauto.com,http://www.faulknerauto.com/,2
12137,LEA11840,faulknerauto.com,http://www.faulknerauto.com/,2
16163,LEA12695,faulknerchevrolet.com,http://www.faulknerchevrolet.com/index.htm,2
16110,LEA15700,faulknerchevrolet.com,http://www.faulknerchevrolet.com/index.htm,2
2929,LEA9893,faulknerhyundaiphilly.com,http://www.faulknerhyundaiphilly.com/,2
2326,LEA11313,faulknerhyundaiphilly.com,http://www.faulknerhyundaiphilly.com,2
9625,LEA17404,fentonofmc.com,http://fentonofmc.com/,2
6350,LEA8814,fentonofmc.com,http://fentonofmc.com/,2
285,LEA8378,ferrarimaseratipalmbeach.com,http://www.ferrarimaseratipalmbeach.com/,2
2255,LEA14475,ferrarimaseratipalmbeach.com,http://www.ferrarimaseratipalmbeach.com/,2
8155,LEA2225,ferrario.com,http://www.ferrario.com/,2
12083,LEA11334,ferrario.com,http://www.ferrario.com,2
9803,LEA14052,fiatusafayetteville.com,http://www.fiatusafayetteville.com/,2
5696,LEA14769,fiatusafayetteville.com,http://www.fiatusafayetteville.com/,2
15074,LEA5991,fiatusaofatlanta.com,http://www.fiatusaofatlanta.com/,2
9045,LEA6069,fiatusaofatlanta.com,http://www.fiatusaofatlanta.com/,2
11256,LEA14035,firstplacefordlincoln.dealerconnection.com,http://firstplacefordlincoln.dealerconnection.com/,2
