Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
4 States Auto Center,D,15-Jan,,0-5,Single,None,
4 States Motors,C,16-30,10,0-5,Single,None,
4th & Main Auto Sales #2,no rating,,,,,,
4th Avenue Auto Sales,B,,100,0-5,,,
4th Avenue Motors,C,16-30,35,0-5,Single,None,
4th Street Auto,no rating,,,,,,
4Th Street Auto Co,B,31-49,125,10-Jun,Single,Frazer,
4 U Motors,no rating,,,,,,
4 Wheel Auto Sales,no rating,,,,,,
4Wheel Junkies,A,15-Jan,8,0-5,Single,Frazer,
4 Wheels Auto Sales,,,,,,iDMS,
"4 Wheels of Fox Lake Sales, Inc.",,,,,,,
4 Wheels Pre-Owned Vehicles,C,16-30,52,0-5,Single,Frazer,
4X4 & More,no rating,,,,,,
4x4 Auto Group,,,,,,,
4X4 Auto Sales,B,31-49,75,10-Jun,Single,None,
4X4 Auto Sales,D,15-Jan,50,0-5,Single,None,
4 X 4 Store,no rating,,,,,,
4 Your Car Connection Inc.,A,,,,,FEX( FinanceExpress),
50/50 Autoplex,C,16-30,25,0-5,Single,DealerCenter (Westlake),
50's Fun,D,15-Jan,15,0-5,Single,None,
500 Automotive Chevrolet Buick GMC,B,0-100,143,6/10/2015 0:00,Single,AutoSoft,
500 Classic Auto,,,,,,,
500 Motors Inc,C,16-30,60,0-5,Single,AutoManager (DeskManager),
501 Auto Sales LLC,D,15-Jan,20,0-5,Single,DealerCenter (Westlake),
502 Motoring,D,15-Jan,30,0-5,Single,Other,
503 Motoring,,,,,,,
505 Auto Sales,B,31-49,40,0-5,Single,DealerCenter (Westlake),
505 Motorsports LLC,C,16-30,70,0-5,Single,DealerCenter (Westlake),
505UsedCars,,,,,,,
507 Motorsports,A,,192,,,,
"508 Sport And Luxury, Inc.",,,,,,,
50 Cars and Trucks,,,,,,,
50 West Auto Sales,C,16-30,40,0-5,Single,None,
518 Auto Sales,C,16-30,40,0-5,Single,None,
518 Auto Sales,,,,,,,
51 Auto Sales,no rating,,,,,,
51 State Inc,D,15-Jan,12,0-5,Single,None,
5280 Car And Truck Sales LLC,no rating,,,,,,
"5280 Imports, Inc",D,15-Jan,30,0-5,Single,None,
5280 Motorcars,D,15-Jan,15,0-5,Single,AutoManager (DeskManager),
5280 MotorCo,D,15-Jan,40,0-5,Single,AutoManager (DeskManager),
52 Card Media,,,,,,,
53RVs,,,,,,,
540 Motors LLC,D,15-Jan,10,,,,
544 Cars,D,15-Jan,15,0-5,Single,,
54 Sales,,,,,,,
56 Auto Sales,A,,150,,,,
56 Auto Sales Circleville,,,,,,,
5-76 Motor Company Llc,D,15-Jan,5,0-5,Single,None,
57 Auto Sales,,,,,,,
57th Street Motors,D,15-Jan,35,0-5,Single,Frazer,
583455 Saskatchewan Ltd.,no rating,,,,,Reynolds,Reynolds
58 West Auto Auction,C,16-30,20,0-5,Single,None,
598755 BC Ltd.,C,0-100,87,10-Jun,,ADP,
5995 Below Auto Expo,D,15-Jan,,,,,
5 A & M Motors,D,15-Jan,20,0-5,Single,Other,CarPlus
5 Corners DCJ,A,0-100,292,6/10/2015 0:00,Single,ADP,
5 Corners Truck & Auto Inc.,A,31-49,100,21-30,Single,Reynolds,
5 D Limited Auto Sales,no rating,,,,,,
5 Etoile Llc,D,15-Jan,5,0-5,Single,Frazer,
5 Grand Auto Land,C,16-30,44,0-5,Single,AutoManager (DeskManager),
5 J Auto,,,,,,,
5 Kids Auto Sales,B,31-49,,0-5,Single,Frazer,
5Mile,,,,,,,
5Miles App,,,,,,,
5 Points Automasters LLC,B,31-49,70,0-5,Single,Comsoft (Money Maker),
5 Seasons Sports Center,,,,,,,
5 Star Auto,A,50+,115,0-5,Single,AutoXplorer,
5 Star Auto Plaza,A,50+,120,0-5,,Wayne Reaves,
5 Star Auto Plex,A,,150,,,FEX( FinanceExpress),FEX( FinanceExpress)
5 Star Auto Plex 290,A,,,,,,
5 Star Auto Plex 45,A,,,,,,
