Account Name,CAPdb Rating,# of Cars Sold Per Month*,Vehicles in Inventory*,# of Salespeople employed*,Single or Multi Point Store*,Current DMS being Utilized*,Current DMS being Utilized (If Other)
Whitaker Auto Sales Inc,no rating,,,,,,
Whitaker Buick GMC,B,0-100,181,6/10/2015 0:00,Single,Reynolds,
Whitaker Motors,C,16-30,35,0-5,Single,,
Whitaker Sales Inc,no rating,,,,,,
Whitby Mazda,no rating,,,,,,
Whitby Motors,no rating,,,,,,
Whitby Oshawa Honda,no rating,,,,,,
Whitby Toyota,no rating,0-100,250,10-Jun,Single,Serti,
Whitcomb Auto Sales & Service,D,15-Jan,5,,,,
White's Auto LLC,D,15-Jan,5,0-5,Single,None,
White's Auto Sales - Rensselaer,B,101-175,100,15-Nov,Single,Other,
White's Chrysler Jeep Dodge,B,0-100,202,6/10/2015 0:00,Multi,,
White's Energy Motors,no rating,,192,,,,
White's Farmington Ford,no rating,,93,,,ADP,
White's Frontier Motors,C,,210,,,,
White's Harley-Davidson,,,,,,,
White's Maibach Ford,No rating,,,,,,
White's Motor Company,A,15-Jan,10,0-5,Single,AutoStar,
White's Mountain Chevrolet,,,,,,,
White's Mountain Kia,,,,,,,
White's Mountain Subaru,A,101-175,86,6/10/2015 0:00,Multi,ADP,
White's Queen City Motors,A,,298,,,,
White's Service Ctr,no rating,,,,,,
White's University Motors,no rating,,151,,,,
White's Used Cars,D,15-Jan,10,0-5,Single,None,
White & Red Auto Sales LLC,,,,,,,
White-Allen Chevrolet,A,,395,,,,
White-Allen European,no rating,,200,,,,
White-Allen Honda,no rating,,239,,,,
White Auto Group,no rating,,,,,,
White Automotive,C,16-30,25,0-5,Single,None,
White Auto Sales Inc,D,15-Jan,20,0-5,Single,None,
White Bear Acura Subaru,No rating,300+,166,,Multi,Reynolds,
White Bear Lake Superstore,no rating,,395,,,,
White Bear Lincoln,A,101-175,415,6/10/2015 0:00,Single,ADP,
White Bear Mitsubishi,A,175-300,825,11/15/2015 0:00,Multi,DealerTrack,
Whitecap Motors Corporate Partnership,no rating,,111,,,,
White Chrysler Jeep Dodge Ram,no rating,,226,,,,
White County Ford Lincoln Chrysler Dodge Jeep,B,0-100,100,,Single,AutoSoft,
Whited's 1547 Auto Sales,D,15-Jan,20,0-5,Single,None,
Whited Ford Truck Center,no rating,,37,,,,
Whitedog Import Auto Service,D,15-Jan,20,0-5,Single,None,
White Eagle Auto Sales,no rating,,,,,,
Whiteface Ford,A,,204,,,,
White Feather Trading,no rating,,,,,,
Whitefish Ford Vw,B,0-100,270,6/10/2015 0:00,Multi,ADP,
White Ford Lincoln,B,0-100,,6/10/2015 0:00,Single,DealerTrack,
Whitehall Auto Sales,B,,102,,,,
White Hat Auto Inc.,D,15-Jan,35,0-5,Single,Wayne Reaves,
Whitehead Chevrolet,B,0-100,62,,Single,ADP,
Whitehead Motors,D,15-Jan,12,0-5,Single,None,
White Horse Auto LLC,C,16-30,45,0-5,Single,Other,DealerCloud
Whitehorse Kia,no rating,,,,,,
Whitehorse Motors,no rating,,,,,,
White Horse Sales & Service,D,15-Jan,40,0-5,Single,Wayne Reaves,
Whitehorse Subaru,no rating,,,,,,
Whitehouse Auto Sales,D,15-Jan,15,0-5,Single,None,
Whitehouse Auto Sales,,15-Jan,,,,,
White House Motor Inc,D,15-Jan,25,0-5,Single,Other,Local one
White House Motors,,,64,,,,
Whiteman Chevrolet Inc,A,101-175,268,6/10/2015 0:00,Single,Reynolds,
White Motor Company,,,,,,,
White Motor Company - Belle,D,15-Jan,15,0-5,Single,None,
White Motor Company - Springfield,B,,100,,,,
White Mountain Auto Broker,,,,,,,
White Mountain Auto Broker,,,,,,,
White Mountain Auto Broker,,,,,,,
White Mountain Auto Broker,,,,,,,
White Mountain used parts,,,,,,,
Whitemoyer Buick-Chevrolet Inc,A,0-100,158,6/10/2015 0:00,Single,DealerTrack,
White Oak Auto Care,D,15-Jan,55,0-5,Single,None,
White Oak Auto Service,,,,,,,
Whiteoak Ford Lincoln Sales,B,101-175,200,10-Jun,Single,Other,
White Plains Auto Company LLc,no rating,,278,,,,
White Plains Buick GMC,B,101-175,260,6/10/2015 0:00,Multi,Reynolds,Reynolds
White Plains CJD,no rating,,610,,,Reynolds,Reynolds
White Plains Honda,A,101-175,340,11/15/2015 0:00,Multi,ADP,
White Plains Jaguar,,,,,,,
White Plains Lincoln,no rating,,238,6/10/2015 0:00,Single,,
White River Auto,,,,,,,
White River Hyundai,No rating,,101,,,,
White River Motor Co.,D,15-Jan,8,0-5,Single,None,
White River Motors,no rating,,,,,,
White River Toyota,B,101-175,265,6/10/2015 0:00,Multi,ADP,
White Rock Honda,B,0-100,97,10-Jun,,ADP,
White Rock Hyundai,no rating,,,,,PBS,
White Rock Outboard Inc,no rating,,,,,,
White Rock Volkswagen,no rating,,,,,PBS,PBS
White Sands Motorsports,,,,,,,
White Sands RV LLC.,no rating,,,,,,
Whites Auto,D,15-Jan,5,0-5,Single,None,
Whites Auto Sales,D,15-Jan,20,0-5,Single,None,
Whites Canyon Motors,A,101-175,181,6/10/2015 0:00,Multi,ADP,
Whites Chevrolet Cadillac,A,101-175,232,,Multi,ADP,
Whitesell Service Inc.,D,15-Jan,0,,,,
Whites Ford,B,0-100,177,6/10/2015 0:00,Multi,Delete,
Whiteside Motors,A,31-49,150,10-Jun,Single,None,
Whiteside of St Clairsville Inc,A,,370,,,,
Whiteside Race Cars,,,,,,,
Whitesides of Cambridge Inc,B,0-100,153,6/10/2015 0:00,Single,ADP,
White Squall Paddling Centre,no rating,,,,,,
White Squall Town Store,no rating,,,,,,
White Star Auto Sales & Svc,no rating,,,,,,
Whitestone Auto Sales,D,15-Jan,20,0-5,Single,Wayne Reaves,
Whitestown Motors,no rating,,,,,,
Whites Wholesale,no rating,,,,,,
Whitetail Auto,,,,,,,
Whitetail Auto Sales,D,15-Jan,8,0-5,Single,None,
White Valley Motors,,,,,,,
Whitewater Motor Company,,,,,,,
Whitewater Motors Inc.,A,50+,150,10-Jun,Multi,DealerTrack,
Whitewood Chrysler Dodge Jeep Ram,no rating,0-100,90,0-5,Single,Quorum,
Whitey's Auto,no rating,,10,,,,
Whitlock Motors,B,,100,,,,
Whitmore Chevrolet Co,A,0-100,133,,Single,Reynolds,
Whitmore Motors,,,,,,,
Whitney's Chevrolet,no rating,,125,,,,
Whitney's Value Ford,B,,79,,,,
Whitney Motorcars,A,31-49,50,10-Jun,Single,AutoStar,
Whitney Motor Company,no rating,,,,,,
Whitson - Morgan Motor Company Inc,,,,,,,
Whitson-Morgan Ozark Ford,C,0-100,36,,Single,DDS,
Whitson-Morgan Pre-Owned,A,31-49,75,0-5,Multi Point,DealerTrack,
Whitt's Auto Sales,C,16-30,25,,,Frazer,
"Whitt's Harley-Davidson Sales, Inc.",,,,,,,
Whittaker Trophy Auto Services,A,50+,240,10-Jun,Single,Frazer,
Whittemore & Sons,no rating,,,,,,
Whittemore Truck & Trailer Inc,no rating,,,,,,
Whitten Bros Mazda Richmond,B,175-300,255,,Multi,Reynolds,
Whitten Brothers Auto Body,no rating,,,,,,
Whitten Brothers Chrysler Jeep Dodge Mazda,no rating,,786,,,,
Whitten Brothers of Ashland,A,,787,,,,
Whitten Fiat of S Richmond,B,,179,,,,
Whittle Motor Co,no rating,,23,,,,
Whitt Motor Sales Inc,D,15-Jan,15,0-5,Single,Other,Turbolot
Whiz Motor Co,D,15-Jan,15,0-5,Single,None,
Wholesale Auto,,,,,,,
Wholesale Auto,A,15-Jan,30,0-5,Single,FEX( FinanceExpress),
Wholesale Auto & Glass Inc.,B,31-49,50,0-5,Single,Other,QuickBooks
Wholesale Auto Brokers,D,15-Jan,20,0-5,Single,Frazer,
Wholesale Auto Co.,B,31-49,50,10-Jun,Single,Other,Genesys
Wholesale Auto Connection,,,,,,,
Wholesale Auto Dealers Inc.,B,,100,,,,
Wholesale Auto Express,no rating,,50,,,,
Wholesale Auto Group,,,,,,,
Wholesale Auto Group - Kenner,A,50+,100,15-Nov,Single,DealerTrack,
Wholesale Auto Inc,C,16-30,50,0-5,Single,None,
Wholesale Auto Inc.,,,,,,,
Wholesale Automall,D,15-Jan,25,0-5,Single,None,
"Wholesale Auto Market, Inc",,,,,,,
Wholesale Auto Outlet,,,,,,,
Wholesale Auto Outlet,no rating,,24,,,,
Wholesale Autoplex,,,,,,,
Wholesale Autoplex - Houma,B,31-49,100,10-Jun,Multi,None,
Wholesale Autoplex Truck Center,B,31-49,50,10-Jun,Multi,None,
"Wholesale Auto Plus, LLP",D,15-Jan,10,0-5,Single,None,
Wholesale Auto Purchasing,,,,,,,
Wholesale Auto - Savannah,D,15-Jan,6,0-5,Single,None,
Wholesale Autos Direct,D,15-Jan,10,0-5,Single,DealerCenter (Westlake),
Wholesale Auto Warehouse,B,31-49,50,0-5,Single,Frazer,
"Wholesale Car, LLC",D,15-Jan,15,0-5,Single,None,
Wholesale Car Company-Nixa,no rating,,,,,,
Wholesale Car Outlet Sale,B,31-49,100,0-5,Single,None,
Wholesalecars.com Corp,A,15-Jan,100,31-40,Single,AutoStar,
Wholesale Cars Direct,no rating,,,,,,
Wholesale Direct,A,,,,,ProMax,
Wholesale Direct,,,,,,,
Wholesale Direct Auto Sales,B,31-49,98,,,,
Wholesale Direct Of St Jo,C,16-30,40,0-5,Single,None,
Wholesale Direct of Tennessee,,,,,,,
Wholesale Enterprise,A,50+,75,0-5,Single,None,
Wholesale Import Cars,,,,,,,
Wholesale Inc - Madison,A,50+,550,15-Nov,Multi Point,DealerTrack,
Wholesale Inc - Mount Juliet,A,50+,500,15-Nov,Multi Point,DealerTrack,
Wholesale Investments Inc,no rating,,,,,AutoManager (DeskManager),
Wholesale Kar Mart,C,16-30,20,0-5,Single,None,
Wholesale Kars,D,15-Jan,,0-5,Single,None,
Wholesale Motor Co,no rating,,,,,,
WHOLESALE MOTOR GROUP,no rating,,,,,,
Wholesale Motors,,,,,,,
Wholesale Motors,,,,,,,
Wholesale Motors,A,31-49,150,10-Jun,Single,FEX (FinanceExpress),
Wholesale Motors - Benton,D,15-Jan,15,0-5,Single,Other,
Wholesale Motors - Highland,A,50+,100,0-5,Single,None,
Wholesale Motors Inc.,B,31-49,100,15-Nov,Single,,
Wholesale Motorsports,C,0-100,55,0-5,Multi Point,Other,Quick Books
Wholesale Outlet,A,50+,75,0-5,Single,Wayne Reaves,
Wholesale Outlet Automotive Group,A,,150,,,,
"Wholesale Plus Auto, Inc.",C,16-30,50,0-5,Single,None,
"Wholesale Remarketing, Inc.",no rating,,,,,FEX (FinanceExpress),
Wholesalers Unlimited LLC,B,31-49,85,0-5,Single,Frazer,
Wholesale Solutions Inc.,B,31-49,50,0-5,Single,Frazer,
Wholesale Tire & Wrecker Services,no rating,,,,,,
Wholesale Truck Source,D,15-Jan,9,0-5,Single,None,
Wholesale Unlimited,C,16-30,35,0-5,Single,Wayne Reaves,
Wholesale Unlimited,,,,,,,
Wholesale Unlimited,,,,,,,
Wholesale Unlimited Inc.,A,50+,93,16-20,Single,Other,AFS
WhyBuyNewAutos.Com,no rating,,,,,,
WhyBuyNewMotorsports,no rating,,,,,,
Whyte's Auto Service,B,,0,,Single,None,
Why Walk Auto Sales,D,15-Jan,10,0-5,Single,None,
Wichita Falls Ford Lincoln Inc.,B,,321,,,DealerTrack(Arkona),
Wicho's Auto Sales,D,15-Jan,15,0-5,Single,Frazer,
Wicked Automotive,,,,,,,
Wicker Auto Sales,B,16-30,100,0-5,Single,None,
Wickliffe's Auto,no rating,,,,,,
Wickliffe Motors,D,15-Jan,25,0-5,Single,,
Wicks Auto Sales,no rating,,,,,,
Wickstrom Chrysler Jeep Dodge,no rating,,535,,Multi,,
Wickstrom Ford Lincoln,B,101-175,535,11/15/2015 0:00,Multi,ADP,
"Wide Open Motorsports, Inc.",D,15-Jan,10,0-5,Single,None,
Wide Open Outdoors Motorsports,no rating,,,,,,
Wide World BMW,,,,,,,
Wide World Of Cars,no rating,,38,,,,
Widgawa Lodge,no rating,,,,,,
Widman Motors,D,15-Jan,30,0-5,Single,AutoMate,
Widrick Auto Sales,B,,50,0-5,Multi,,
Wiebe's Wheels Inc,no rating,,,,,,
Wiebler's Quad Cities Harley-Davidson,,,,,,,
Wied Auto Finance Solutions,no rating,,,,,,
Wiegman Ford,D,0-100,27,,Single,Delete,
Wieland Automotive,no rating,,,,,,
Wiele Chevrolet Inc,B,,179,,,,
Wiele Motor Co,C,0-100,181,,Multi,Delete,
"WIENANDT Performance Technology, Inc.",,,,,,,
Wiers Chevrolet Cadillac GMC,No rating,,181,,,ADP,
Wieser Body Shop,,,,,,,
Wiesner Buick GMC Hyundai,A,300+,526,,Multi,Reynolds,Reynolds
Wiesner of Conroe,,,,,,,
Wiesner of Huntsville,no rating,,470,,,,
Wiesner Trucks,no rating,,,,,,
Wietzes Motors Limited,no rating,,,,,,
Wiggett's Auto,,,,,,,
Wiggles Auto Sales,C,16-30,40,0-5,Single,,
Wight Auto Sales,no rating,,50,0-5,Multi,,
Wight Chevrolet Co,no rating,,58,,,,
Wighty's Repairs Inc,no rating,,,,,,
Wikimotive,no rating,,,,,,
Wilber Auto Body & Sales,,,,,,,
Wilber-Duck Chevrolet Inc,no rating,,214,,,,
WILBORN MOTOR CO,no rating,,,,,FEX (FinanceExpress),
Wilbraham Auto Sales,,,,,,,
Wilbrod Belanger Et Fils Inc,no rating,,,,,,
Wilbur Ford Sales Inc,B,0-100,20,,Single,Jarvis,
Wilcoxen Auto Sales,D,15-Jan,20,0-5,Single,AutoSoft,
Wilcoxson Buick-Cadillac-Gmc Truck Inc,B,0-100,219,6/10/2015 0:00,Multi,Adams,
Wilcox Truck Sales Inc.,C,16-30,60,0-5,Single,Other,
Wild Auto Sales Llc,no rating,,10,,,,
Wildcat Auto Sales,,,,,,,
Wildcat Auto Sales - Kansas,,,,,,,
Wildcat Chevrolet,B,0-100,69,,Single,DealerTrack,
Wildcat Harley-Davidson,no rating,,,,,,
Wildcat Motors,,,,,,,
Wildcat Motors,A,31-49,100,15-Nov,Multi,AutoStar,
Wildcat Used Cars LLC,no rating,,,,,,
Wild Country Sports,no rating,,,,,,
Wild Ducks Marina,,,,,,,
Wilde Dodge Inc,A,300+,628,,Multi,Reynolds,
Wilde East Towne Honda,A,,423,,Multi,Reynolds,
Wilde Honda,C,,,,,ADP,ADP
Wilde Honda Cars,A,300+,900,,Multi,Reynolds,
Wilde Land Rover Sarasota,C,0-100,43,,Single,Reynolds,
Wilde Lexus,no rating,,468,16-20,Multi,ADP,ADP
Wilder Honda,no rating,,195,,,,
Wilderness Dreams Outdoor,no rating,,,,,,
Wilderness Supply Co Ltd,no rating,,,,,,
Wilder RV,no rating,,,,,,
Wilder Toyota,B,,228,,,,
Wilder Volkswagen,B,300+,194,,Multi,ADP,
Wilde Toyota Scion,no rating,,623,,Multi,,
Wildfire Motors,,,,,,,
Wild Hogs Motorsports,D,,15,0-5,Single,None,
"Wildhorse Gun, Pawn & Auto, LLC",D,15-Jan,10,0-5,Single,Frazer,
Wildhorse Harley-Davidson,,,,,,,
Wild Mile Auto Sales,,,,,,,
Wild Prairie Harley-Davidson,,,,,,,
Wild Rock,no rating,,,,,,
Wild Rose Auto,no rating,,72,,,,
Wildrose Used Auto Sales Ltd,no rating,,,,,,
Wild Things Truck & Car Accessories,,,,,,,
Wild West Cars and Trucks,A,,198,,,,
Wild West Chevrolet,A,0-100,163,6/10/2015 0:00,Single,ADP,
Wild West Enterprise,no rating,,,,,,
Wild West Harley-Davidson,,,,,,,
Wild West Motoplex,A,,800,16-20,Multi Point,Other,Lightspeed
Wild West Motorsports Inc.,no rating,,,,,,
Wild West Used Cars,C,16-30,10,0-5,Single,None,
Wildwood Motors,,,,,,,
Wildwood Sports,,,,,,,
Wile Hyundai,B,0-100,155,,Single,DealerTrack,
Wiley Auto Solutions,B,31-49,50,0-5,Single,Frazer,
Wilf's Auto Body & Painting,no rating,,,,,,
Wilf's Elie Ford Sales,no rating,,63,,,,
Wilhelm Chevrolet Buick GMC,A,,289,,,,
WilkersonAuto&MobilitySalesLLC,no rating,,,,,,
Wilkerson Auto Sales,D,15-Jan,20,0-5,Single,,
Wilkerson Auto Sales-Ozark,no rating,,,,,,
Wilkerson Auto Sales - Paris,no rating,,,,,,
Wilkie Lexus,A,,,,,ADP,
Wilkins Auto Sales Inc.,B,31-49,50,10-Jun,Single,Comsoft (Money Maker),MoneyMaker
Wilkins Buick GMC,no rating,0-100,190,10-Jun,,DealerTrack(Arkona),DealerTrack(Arkona)
Wilkins Harley-Davidson,,,,,,,
Wilkins Hyundai,no rating,,231,,,,
Wilkins Mazda,,,,,,,
Wilkinson Automotive,A,0-100,152,6/10/2015 0:00,Single,ADP,
Wilkinson Chevrolet,No rating,,,,,,
Wilkinson Used Cars,D,15-Jan,8,0-5,Single,None,
Wilkinson Used Cars LLC,B,31-49,50,10-Jun,Single,Wayne Reaves,
Wilkins Subaru,A,101-175,155,6/10/2015 0:00,Multi,,
Wilkins Used Cars,D,15-Jan,10,0-5,Single,Other,
Wilks Used Cars,D,15-Jan,10,0-5,Single,None,
Willard Automotive,B,31-49,50,0-5,Single,None,
Willard Bros Motor Sales,B,31-49,75,0-5,Single,None,
Willard Motor Company,no rating,,82,,,,
Will Bill's RV & Power Sport,no rating,,,,,,
Willcutt's Used Cars,no rating,,,,,,
Will Deal Auto,B,31-49,55,0-5,Single,Frazer,
Will Dicker Auto LLC,D,15-Jan,20,0-5,Single,None,
Wille Dodge Chrysler Ltd,B,0-100,269,15-Nov,,ADP,
Willett Honda South,A,175-300,338,,Multi,Reynolds,
William D Auto Sales Inc.,B,,111,,,,
William F Nolan Used Cars,D,15-Jan,25,0-5,Single,Other,
William H. Fenton Company Inc.,D,15-Jan,,0-5,Single,Frazer,
William H Wessels,,,,,,FEX (FinanceExpress),
William H Wessels Used Cars Inc.,A,50+,150,10-Jun,Single,FEX( FinanceExpress),Tracker
William Lehman Mitsubishi,C,0-100,80,11/15/2015 0:00,Multi,ADP,
William L Morris Chevrolet,no rating,0-100,204,,,AutoSoft,
WILLIAM MCKINSTRY LIMITED,no rating,,,,,,
William Mizell Ford,A,,266,,,DealerTrack(Arkona),DealerTrack(Arkona)
Williams Auto,B,31-49,50,0-5,Single,Frazer,
Williams Auto Mart Inc. - Bristol,C,15-Jan,20,0-5,Single,Frazer,
Williams Auto Mart Inc. - Pacoima,B,31-49,50,0-5,Single,AutoManager (DeskManager),
Williams Automotive Wholesale,,,,,,,
Williams Auto Sales,D,15-Jan,40,0-5,Single,Frazer,
Williams Auto Sales,C,16-30,10,0-5,Single,None,
Williams Auto Sales,D,15-Jan,15,,,FEX (FinanceExpress),
"Williams Auto Sales, LLC",,,,,,,
Williams Auto Sales & Service LLC,B,31-49,100,10-Jun,Single,Wayne Reaves,
Williams Auto Sales - Campbell,D,15-Jan,12,0-5,Single,None,
Williams Auto Sales - Holyoke,D,15-Jan,25,0-5,Single,None,
Williams Auto Sales Llc,D,15-Jan,30,0-5,Single,None,
Williams Auto Sales Ltd,no rating,,,,,,
Williams Auto Sales - Rockport,no rating,,,,,,
Williams Auto Sales - Tallapoosa,no rating,,,,,,
Williams Auto Sales - Vicksburg,no rating,,,,,,
Williams AutoWorld,no rating,,193,,Multi,ADP,
Williamsboro Auto Sales,no rating,,,,,,
Williams Brother Auto Sal,D,15-Jan,25,0-5,Single,None,
Williams Brothers Milan Dodge Chrysler Jeep Ram,B,0-100,58,,Single,ADP,
Williams Buick GMC,no rating,,352,,,Reynolds,
Williamsburg Chrysler Jeep Dodge,A,0-100,234,6/10/2015 0:00,Single,ADP,
Williamsburg Ford and Preowned,No rating,,,,,,
Williamsburg Honda,A,0-100,116,6/10/2015 0:00,Multi,ADP,
Williamsburg Hyundai,no rating,,99,,,,
Williams Chevrolet,B,0-100,271,6/10/2015 0:00,Multi,Autobase/Dominion,
Williams Chevrolet Inc,no rating,,581,,Multi,,
Williams Chrysler Dodge Jeep,B,0-100,225,,Single,ADP,
Williams Chrysler Jeep Dodge,B,0-100,496,6/10/2015 0:00,Single,Reynolds,
Williams Group Auto,,,,,,,
Williams Group Auto,,,,,,,
Williams Group Auto,,,,,,,
Williams Harley-Davidson,,,,,,,
Williams Honda,B,0-100,209,6/10/2015 0:00,Multi,ADP,
Williams Kia,B,0-100,121,,Multi,Reynolds,
Williams Motor Co,,,,,,,
Williamson's Used Cars Inc.,B,31-49,,0-5,Single,Frazer,
Williamson Cadillac-Buick-Gmc,A,300+,812,,Multi,Reynolds,
Williamson Chrysler Dodge Jeep Ram,no rating,0-100,200,10-Jun,Multi Point,Reynolds,
Williamson GM Uxbridge,no rating,101-175,350,15-Nov,Multi Point,ADP,
Williamson Motor Company,no rating,,50,,,FEX (FinanceExpress),
Williamson Used Auto,no rating,,,,,,
Williamsport Auto Sales & Services,no rating,,10,,,,
Williamsport Motors,B,31-49,50,0-5,Single,Other,
Williams Toyota of Sayre,B,0-100,154,6/10/2015 0:00,Multi,ADP,
William Street Auto,,,,,,,
Williams Used Car Lot,D,15-Jan,10,0-5,Single,None,
Williams Used Cars,C,16-30,30,0-5,Single,Frazer,Wayne Reeves
Williams Used Cars,no rating,,,,,,
Williams  Used Cars & Trucks,B,,,,,,
Williams Vintage Cycle,C,16-30,30,0-5,Single,None,
William Weller,,,,,,,
Willie's Classic Cars,D,15-Jan,12,0-5,Single,Wayne Reaves,
Willie Racines,B,0-100,232,,Single,Reynolds,
Willis Auto Campus,No rating,,,,,,
Willis Cadillac Inc,A,0-100,468,,Multi,Reynolds,
WILLIS CHEVROLET BUICK,A,101-175,213,6/10/2015 0:00,Multi,ADP,
Willis Ford Inc,no rating,,169,,,ADP,
Willis Infiniti-Des Moines,B,0-100,435,,Multi,Reynolds,
Willis Motors,C,16-30,25,0-5,Single,Frazer,
Williston Auto World,no rating,,,,,,
Williston Economy Motors,no rating,,,,,,
Willmar Auto Sales,no rating,,33,,,,
Willoughby Automotive Sales,no rating,,,,,,
Willowbrook Chrysler,no rating,,616,,,PBS,
Willow Creek Auto Sales,B,31-49,100,0-5,Single,Frazer,
Willow Creek Motors,D,15-Jan,15,0-5,Single,None,
Willowdale Subaru,C,0-100,80,10-Jun,Multi Point,ADP,
Willow Springs Auto Sales,D,15-Jan,50,0-5,Single,None,
Willow Street Motors,D,15-Jan,20,0-5,Single,None,
Willow View Auto Sales,D,15-Jan,40,0-5,Single,,
Willrodt Ford Inc,no rating,,96,,,,
Willrodt Motor Company,A,,88,,,,
Wills Chevrolet Buick GMC,B,0-100,167,10-Jun,Single,PBS,
Wills Point Chevrolet,B,0-100,96,6/10/2015 0:00,Multi,AutoSoft,
Wills Point Ford,no rating,,159,,,,
Wills Toyota,A,0-100,160,6/10/2015 0:00,Single,DealerTrack,
Will Tiesiera Ford,A,0-100,176,6/10/2015 0:00,Single,AutoMate,
Willy's Auto Sales,,,,,,,
Willy Herold Automotive,B,,100,,,,
Willy Works Corp,,,,,,,
Wilmer Auto Sales,D,15-Jan,20,0-5,Single,None,
Wilmes Auto Sales,D,15-Jan,25,0-5,Single,Frazer,
Wilmes Chevrolet Buick GMC,no rating,,173,,,,
Wilmes Ford-Lincoln-Mercury,D,,,,,,
Wilmes Superstore,no rating,,186,,,,
Wilmington Auto Center,B,,50,16-20,Single,Other,Nizex
Wilmington Auto Finance,,,,,,,
Wilmington Auto Sales,,,,,,,
Wilmington Auto Wholesale,no rating,,50,,,,
Wilos Auto Sales LLC,D,15-Jan,10,0-5,Single,None,
Wilson's Auto Mall,D,15-Jan,20,0-5,Single,Wayne Reaves,
Wilson's Auto Sales,,,,,,,
Wilson's Auto Sales,no rating,,,,,,
Wilson's Auto Sales,D,15-Jan,25,0-5,Single,None,
Wilson's Auto Tech,,,,,,,
Wilson's Direct Motors & Tires,no rating,,,,,,
Wilson's Service,D,15-Jan,15,0-5,Single,None,
Wilson's Service Ctr,no rating,,,,,,
Wilson's Used Cars Llc,D,15-Jan,15,0-5,Single,None,
Wilson's Wheels,no rating,,,,,,
Wilson & Sons,,,,,,,
Wilson Auto Brokers,,,,,,,
Wilson Automotive,no rating,,,10-Jun,,,
Wilson Automotive Group Corp,B,0-100,271,6/10/2015 0:00,Multi,ADP,
Wilson automotive Group Corp,no rating,0-100,361,0-5,Multi Point,,
Wilson Auto Sales,,,,,,,
Wilson Auto Sales,,,,,,,
Wilson Auto Sales,D,15-Jan,8,0-5,Single,None,
Wilson Auto Sales,no rating,,,,,,
"Wilson Auto Sales, dba Flat Rock Storage",,,,,,,
Wilson Auto Sales Inc,no rating,,,,,,
Wilson Auto Sales - Reno,C,16-30,60,0-5,Single,AutoManager (DeskManager),
Wilson Chevrolet,No rating,,,,,DealerTrack(Arkona),
Wilson Chevrolet Buick GMC,B,0-100,127,10-Jun,Single,DealerTrack,
Wilson Chevrolet-Cadillac,no rating,,227,,,,
Wilson Chevrolet Inc,no rating,,66,,,,
Wilson Chry-Dodge-Jeep,no rating,,309,,,,
Wilson Chrysler Jeep,C,0-100,96,,Single,AutoSoft,
Wilson County Chevrolet Buick GMC,no rating,,525,,,,
Wilson County Hyundai Inc,no rating,,526,,,,
Wilson Equipment Inc.,D,15-Jan,20,0-5,Single,,
Wilson Ford,no rating,,123,,,,
Wilson Ford Lincoln,A,101-175,435,11/15/2015 0:00,Single,DealerTrack,
Wilson Hyundai,no rating,,227,,Multi Point,,
"Wilson Insurance & Financial Planning, Inc.",,,,,,,
Wilson Kia,B,,261,,Multi Point,Reynolds,
Wilson Mills Auto,no rating,,,,,,
Wilson Motor Company,D,15-Jan,20,0-5,Single,None,
Wilson Motors,no rating,,,,,,
Wilson Motors,no rating,,,,,,
Wilson Motors,D,15-Jan,20,0-5,Single,None,
Wilson Motors,C,16-30,60,0-5,Single,Frazer,
Wilson Motors,B,0-100,185,,Single,ADP,
"Wilson Motors, LLC",D,15-Jan,20,0-5,Single,,
Wilson Motors Ford,B,101-175,216,6/10/2015 0:00,Multi,ADP,
Wilson Motors Or Chrysler Dodge Jeep,No rating,,,,,,
Wilson Motors Wholesale Inc.,D,15-Jan,20,0-5,,Frazer,
Wilson Niblett Motors Limited,no rating,,,,,,
Wilson Nissan,A,101-175,290,6/10/2015 0:00,Multi,DealerTrack,
Wilson Nissan,C,,186,,,,
Wilson Powell Lincoln Mercury,B,101-175,1407,11/15/2015 0:00,Multi,Reynolds,
Wilson Premier Hyundai,A,,109,,Multi Point,,
Wilsons Auto Sales,D,15-Jan,30,0-5,Single,None,
Wilson Toyota,A,300+,1039,11/15/2015 0:00,Single,Reynolds,
Wilson Trailer,,,,,,,
Wilson Used Cars - Fort Smith,D,15-Jan,10,0-5,Single,None,
Wilson Used Cars - Springfield,D,,40,0-5,Single,None,
Wilsonville Chevrolet,No rating,,175,,,,
Wilsonville Subaru,,,,,,,
Wilsonville Toyota-Scion,A,300+,494,,Multi,,
Wiltshire Auto Sales,,,,,,,
Wimett Trading Company,D,15-Jan,15,0-5,Single,None,
Win Auto Center,C,16-30,,,,,
Winchelsea Motors,no rating,,,,,,
"Winchester Motors, LLC.",,,,,,,
Winchester Wheels Inc.,D,15-Jan,50,0-5,,,
"Winchester Wholesale, Inc.",,,,,,,
Win Chevrolet Inc.,A,101-175,345,11/15/2015 0:00,Multi,ADP,
Windermere Marina,no rating,,,,,,
"Windfall Auto & Tire, LLC",no rating,,17,,,,
Wind Gap Chevrolet Buick,B,0-100,217,11/15/2015 0:00,Single,AutoSoft,
Windham Auto Sales,,,,,,,
Windham Auto Sales,B,31-49,50,0-5,,None,
Windham Auto Sales,no rating,,,,,,
Windham Motor Co,B,0-100,122,,Single,AutoMate,
Windham Motors,C,16-30,45,0-5,Single,Comsoft (Money Maker),
